date,losses,player,wins
1995-01-05,17,Yang Wooseok,7
1995-04-08,60,Hwang Jaeyeon,35
1990-01-31,52,Pan Fei,25
1991-07-15,173,Wang Chenxing,249
2003-03-12,1,Park Sinyoung,3
1994-03-19,33,Lee Hyeonjun,26
1988-06-16,91,Lee Ishu,85
1989-03-27,75,Lee Chungyu,50
2001-03-27,34,Kang Woohyuk,27
1962-02-17,108,Jiang Zhujiu,96
1970-04-11,89,Ogaki Yusaku,64
2005-09-28,12,Zheng Zaixiang,6
2004-02-25,1,Konishi Yoshiakira,5
-,2,Zhang Baiqing,4
1990-09-19,46,Lee Hyungjin,33
2007-02-19,8,Ye Changxin,6
1996-01-26,77,Wu Baiyi,71
1992-01-01,184,Li He,237
1953-02-01,474,Seo Bongsoo,556
2004-02-18,40,Tang Jiawen,49
1970-04-18,322,Cho Sonjin,405
1999-01-16,43,Chang Rueijie,48
1995-05-14,73,Tsuruta Kazushi,45
2001-08-15,6,Yi Liao,10
1971-12-08,391,Ryu Shikun,455
2004-01-18,12,Lee Yeon,15
1978-06-10,85,Rin Shien,87
1999-09-27,45,Nishi Takenobu,54
1969-07-04,221,Mimura Tomoyasu,214
1988-04-02,33,Choi Kihoon,24
1958-08-12,399,Yamashiro Hiroshi,397
1975-05-12,181,Choi Myeonghun,130
1990-12-20,76,Terayama Rei,82
1981-11-19,77,Shuto Shun,82
2002-08-30,6,Yin Songtao,4
1996-05-28,20,Oomote Takuto,23
-,87,Xu Jingen,111
1961-11-22,485,O Meien,524
1977-06-15,18,Seo Musang,16
1977-10-07,117,Han Zenki,84
1992-02-11,3,Su Guangyue,4
1970-12-21,63,Kim Yeonghwan,50
1956-06-20,821,Cho Chikun,1256
2001-01-19,9,Pan Tingyu,5
1995-09-30,64,Chen Xi,95
1964-08-26,345,Ma Xiaochun,462
1996-02-14,67,Wang Yubo,64
-,2,Wang Bendong,1
1972-09-29,69,Duan Rong,32
1995-07-27,46,Onishi Kenya,46
2002-03-21,53,Fang Ruoxi,63
2001-09-18,7,Takei Taishin,11
1996-01-15,122,Kim Cheayoung,180
1968-08-14,108,Imamura Yoshiaki,63
1993-03-24,114,Oh Jeonga,130
1996-03-27,10,Xu Hanwen,5
1989-10-23,42,Horimoto Mitsunari,25
2002-12-06,6,Wang Zeyu,6
1998-04-11,5,Lu Junren,4
-,12,He Xin,7
2002-02-02,1,Chen Tuli,2
1980-09-08,100,Matsumoto Takehisa,105
2001-06-14,22,Tanaka Koyu,22
1995-05-16,86,Wang Shuang,101
1970-03-30,105,Nakaonoda Tomomi,88
1963-12-28,343,Rui Naiwei,504
2002-09-04,6,Kim Kyeonghwan,5
-,2,Liu Tanghao,1
2002-10-16,14,Watanabe Kandai,21
-,9,Zhang Yiming,5
2006-01-30,29,Wang Chunhui,13
1985-06-01,51,Ha Youngil,41
1980-11-14,144,Lin Zhihan,186
1993-07-29,8,Zhan Yidian,15
1977-05-18,112,Nakano Yasuhiro,66
1980-09-10,58,Fujii Shuya,42
1989-04-22,53,Kim Yoonyoung,53
-,4,Wu Junyi,5
2005-02-01,10,Li Zerui,4
-,8,Kurita Yoshiki,11
2004-11-14,14,Miura Taro,19
1983-04-24,77,Mochizuki Kenichi,66
1986-09-02,191,Kim Hyeoimin,158
1990-02-19,7,Wang Yuzi,4
-,1,Han Jinrui,2
2004-03-12,7,Li Haotong,4
2002-01-03,19,Kim Seongi,11
1962-03-17,318,Hikosaka Naoto,322
1958-08-03,361,Kataoka Satoshi,430
-,2,Zhang Xinyu,3
1992-11-02,56,Numadate Sakiya,39
1996-06-14,97,Gao Xing,108
-,3,Zhao Yan,1
1985-06-07,186,Cho Hyeyeon,245
-,2,Zeng Chudian,4
1952-08-17,320,Nie Weiping,358
1985-08-25,78,Mitani Tetsuya,87
2004-01-08,18,Kwon Hyojin (m),16
2001-04-02,101,Niu Shite,97
1997-12-02,7,Shibano Ryunosuke,10
2003-01-25,18,Huang Chunqi,6
1977-09-19,78,Lee Seongjae,42
1989-09-19,211,Lin Shuyang,216
2000-02-10,54,Zhao Yifei,47
1978-04-12,20,Zhang Yingting,10
1988-05-26,22,Jen Youngkyu,10
1969-06-03,166,Nakano Hironari,145
1993-12-03,80,Xu Yuqi,89
2001-11-06,12,Okawa Takuya,12
1984-07-11,111,Lee Minjin,107
2009-03-02,45,Nakamura Sumire,76
2003-12-13,3,Han Enyi,3
2005-07-20,3,Nishimura Jin,6
-,17,Xu Yidi,8
1998-03-14,78,Kim Dayoung,88
1997-02-14,57,Song Hyeryung,54
1990-04-17,12,Komatsu Daiki,9
1981-09-24,37,Ko Reibun,24
1989-11-16,233,Xie Yimin,287
1999-03-16,1,Li Zehao,1
1997-06-20,45,Watanabe Kouki,30
1942-12-07,42,Ishigure Ikuro,27
1991-07-22,31,Ito Masashi,24
2006-04-07,9,Li Xinchen,4
1983-09-23,148,Suzuki Ayumi,181
1998-03-04,32,Hara Masakazu,21
1999-01-10,33,Lin Xinwei,40
2001-08-29,5,Zhao Fei,3
1959-04-05,465,Kobayashi Satoru,587
1995-04-13,34,Fujimura Yosuke,25
1958-02-07,56,Kubo Katsuaki,33
1966-08-07,109,Yukawa Mitsuhisa,74
1996-12-14,10,Ma Guangzi,5
2001-07-04,5,Kondo Toshiki,4
1958-05-05,214,Seo Nungwuk,194
-,2,Lin Zijie,3
1997-01-02,2,Terada Shuta,4
1968-03-08,51,Matsuoka Hideki,30
1991-05-13,132,Park Jiyeon,135
2007-07-10,5,Kim Minseo,5
1996-07-17,48,Abe Yoshiki,23
1988-01-22,144,Tang Yi,154
1966-03-29,266,Imamura Toshiya,271
-,20,Sakai Yuki,21
1974-05-14,49,Kono Takashi,27
1996-05-15,49,Taniguchi Toru,36
1998-03-26,10,Nishioka Masao,7
2002-10-06,8,Zeng Yuanhai,5
1967-03-04,215,Komatsu Hideki,207
1952-09-10,637,Kobayashi Koichi,961
1991-05-14,32,Tsuneishi Takashi,26
-,4,Du Yang,1
-,13,Ryan Li,4
-,86,Pan Yang,66
-,1,Zhu Yanzhen,1
1974-08-14,115,Kato Atsushi,107
1961-11-27,179,Kiyonari Tetsuya,143
1996-05-07,5,Iida Junya,4
-,2,Lin Jiaxuan,1
2002-03-26,23,Tsuji Shigehito,16
1999-05-12,86,Nyu Eiko,80
1997-01-15,28,Zhao Guanru,22
1979-02-15,50,Takei Takashi,26
2001-09-18,88,Lin Yancheng,73
1988-09-12,86,Kim Eunseon,59
1994-06-26,13,Kim Nuri,5
1989-03-06,48,Muramatsu Hiroki,30
1996-03-24,27,Kan Minu,21
1963-05-06,173,Choi Kyubyeong,137
1971-05-23,35,Iguchi Toyohide,24
2005-02-04,2,Hino Shota,2
2001-08-27,15,Park Jungsoo,5
1990-08-25,71,Cai Bihan,70
1948-08-15,448,Ishida Yoshio,494
2006-12-23,4,Kim Hyoyoung,3
-,1,Wen Zhaojing,2
1970-04-29,112,Yo Kagen,82
1964-09-07,165,Ogata Masaki,128
1992-07-25,143,Song Ronghui,137
2002-05-30,61,Heo Seohyun,44
1973-08-21,47,Yata Naoki,28
1992-05-14,42,Obuchi Kotaro,33
1949-05-05,78,Kamimura Haruo,62
1984-03-29,40,Shiraishi Yuichi,31
2000-01-30,75,Chen Weiting,67
1952-03-30,182,Sonoda Yuichi,163
1981-02-15,23,Yamamori Tadanao,15
2001-03-19,11,Yun Minjung,5
-,1,Ko Miso,2
2004-06-26,4,Qu Ming,2
2006-02-13,2,Hoda Shota,3
1998-03-21,117,Cai Chengwei,105
